question,answer,question_type,image
Who has been reappointed as the President of the World Health Organization (WHO)?,Tedros Ghebreyesus,GK Questions For Class 6,
Which day is observed as International Literacy Day?,September 8,GK Questions For Class 6,
Who was known as the Missile Man of India?,Dr. APJ Abdul Kalam,GK Questions For Class 6,
Name the marine animal known as “sea cow”?,Manatees,GK Questions For Class 6,
Which is the protein found in nails?,Keratin,GK Questions For Class 6,
Which instrument is used to measure blood pressure?,Sphygmomanometer,GK Questions For Class 6,
Which mineral is found in teeth?,"Calcium
",GK Questions For Class 6,
Which acid is secreted in the stomach?,Hydrochloric acid,GK Questions For Class 6,
Who is known as the “father of vaccination”?,Edward Jenner,GK Questions For Class 6,
Which is the slowest moving animal on Earth?,The three-toed sloth,GK Questions For Class 6,
Which only metal in liquid form at room temperature?,Mercury,GK Questions For Class 6,
Which is known as the Father of modern medicine?,Hippocrates,GK Questions For Class 6,
Which scientist developed the Theory of Relativity?,Albert Einstein,GK Questions For Class 6,
The air we breathe is majorly composed of which gas?,Nitrogen,GK Questions For Class 6,
What is the chemical name of Vitamin C?,Ascorbic acid,GK Questions For Class 6,
Plaster of Paris is made of ____?,Gypsum,GK Questions For Class 6,
Hematite is the ore of which metal?,Iron,GK Questions For Class 6,
Who discovered Penicillin?,Alexander Fleming,GK Questions For Class 6,
Which planet has the biggest known volcano in our solar system?,Mars,GK Questions For Class 6,
Who invented telephone?,Alexander Graham Bell,GK Questions For Class 6,
World Homoeopathy Day is observed on ______,April 10,GK Questions For Class 7,
What is the square of 42?,1764,GK Questions For Class 7,
Baku is the capital of which country?,Azerbaijan,GK Questions For Class 7,
Name the currency used in Japan?,Yen,GK Questions For Class 7,
"Which lake is situated in the border of countries, Peru and Bolivia?",Lake Titicaca,GK Questions For Class 7,
The distance travelled by light in one year is called _______,Light Year,GK Questions For Class 7,
When is World Hearing Day?,March 23,GK Questions For Class 7,
What is the theme of World Hearing Day 2022?,"To hear for life, listen with care!",GK Questions For Class 7,
________________ is known as “antisterility vitamin”?,Vitamin E,GK Questions For Class 7,
Name a non-metal that conducts electricity?,Graphite,GK Questions For Class 7,
Birth anniversary of Sardar Vallabhbhai Patel is observed as?,National Unity Day (Rashtriya Ekta Divas),GK Questions For Class 7,
Who discovered X-Rays?,Wilhelm Conrad Roentgen,GK Questions For Class 7,
Name the main gases present in the Sun?,Hydrogen and Helium,GK Questions For Class 7,
Name the capital of Kingdom of Bahrain?,Manama,GK Questions For Class 7,
What is the theme of World Meteorological Day 2022?,Early Warning and Early Action,GK Questions For Class 7,
What is the capital of Norway?,Oslo,GK Questions For Class 7,
Name the compound necessary for photosynthesis in leaves?,Chlorophyll,GK Questions For Class 7,
What are the tiny pores present in plant leaves called?,Stomata,GK Questions For Class 7,
Who invented electricity?,Benjamin Franklin,GK Questions For Class 7,
Name the continent known as “Dark Continent”?,Africa,GK Questions For Class 7,
______ is the hardest substance available on Earth.,Diamond,GK Questions For Class 7,
Name the instrument used to measure atmospheric pressure,Barometer,GK Questions For Class 7,
Who was the first woman to go to space?,Valentina Tereshkova,GK Questions For Class 7,
Which bird is known for its intelligence?,Owl,GK Questions For Class 7,
Which is the gas absorbed by plants?,Carbon Dioxide,GK Questions For Class 7,
What is the capital of Denmark?,Copenhagen,GK Questions For Class 7,
Olympic Games of which year were cancelled due to World War I?,1916,GK Questions For Class 7,
How many players are there in a Kho Kho team?,9,GK Questions For Class 7,
Who was the first President of the United States?,George Washington,GK Questions For Class 7,
Name the continent with the highest population density?,Asia,GK Questions For Class 7,
Beriberi disease is caused by the deficiency of _________,Vitamin B,GK Questions For Class 7,
Scientific study of birds is called _______,Ornithology,GK Questions For Class 7,
Name the organ responsible for blood purification in human body,Kidney,GK Questions For Class 7,
What is the name of the process where excess water in plants gets released?,Transpiration,GK Questions For Class 7,
What is the main source of energy produced through photosynthesis in plants?,Glucose,GK Questions For Class 7,
The measure of moisture in the air is known as _________,Humidity,GK Questions For Class 7,
A decagon has _______ sides.,10,GK Questions For Class 7,
3 raised to power 0 is ________.,1,GK Questions For Class 7,
Which is the smallest three-digit number?,1000,GK Questions For Class 7,
Which is the largest three-digit number?,999,GK Questions For Class 7,
What is the cube root of 27?,3,GK Questions For Class 7,
What is another name for Northern Lights?,Aurora Boralis,GK Questions For Class 7,
There are a total of _____ time zones in the world.,24,GK Questions For Class 7,
What is the full form of GPS?,Global Positioning System,GK Questions For Class 7,
Which famous explorer discovered Cuba?,Christopher Columbus,GK Questions For Class 7,
Which is the hardest substance on the human body?,Tooth enamel,GK Questions For Class 7,
Where is the headquarters of UNESCO located?,"Paris, France",GK Questions For Class 7,
Which planet is known as Earth’s Twin?,Venus,GK Questions For Class 7,
Which is the loudest animal on Earth?,Sperm whale,GK Questions For Class 7,
Which blood group is known as “universal donor”?,O+,GK Questions For Class 7,
_____ is a flying mammal.,Bat,GK Questions For Class 7,
Which animal has fingerprints similar to that of humans?,Koala,GK Questions For Class 7,
What is the colour of polar bear’s skin?,Black,GK Questions For Class 7,
Which protein is a fingernail made of?,Keratin,GK Questions For Class 7,
Which bird can fly backward?,Humming bird,GK Questions For Class 7,
Who was the first woman to win a Nobel Prize?,Marie Curie (in the year 1903),GK Questions For Class 7,
_____ is the warmest sea on Earth.,Read Sea,GK Questions For Class 7,
Which is the fastest snake in the world?,Black Mamba,GK Questions For Class 7,
Which is the largest organ in the human body?,Skin,GK Questions For Class 7,
Which is the largest lake in Japan?,Biwa,GK Questions For Class 7,
Name the vitamin that helps to heal wounds?,Vitamin C,GK Questions For Class 7,
Equilateral polygons have all ______ equal.,Sides,GK Questions For Class 7,
Which country does famous footballer Lionel Messi belong to?,Argentina,GK Questions For Class 7,
The atomic number of Iron (Fe) is _____.,26,GK Questions For Class 7,
What is the capital of United Arab Emirates (UAE)?,Abu Dhabi,GK Questions For Class 7,
Golfer Vijay Singh belongs to which country?,Fiji,GK Questions For Class 7,
Which blood cells do not have a nucleus?,Blood platelets,GK Questions For Class 7,
Who authored the renowned novel “The Godfather”?,Mario Puzo,GK Questions For Class 7,
RAM is located in which part of the computer?,Mother board,GK Questions For Class 7,
Who was nicknamed the “Little Corporal”?,Napolean Bonaparte,GK Questions For Class 7,
The ceiling of Sistine Chapel has frescos painted by which famous painter?,Michelangelo,GK Questions For Class 7,
What was the court language used by Mughals?,Persian,GK Questions For Class 7,
Orange Prize is related to the field of ____________.,Literature,GK Questions For Class 7,
When did World War II start?,1939,GK Questions For Class 7,
Vienna is the capital of which country?,Austria,GK Questions For Class 7,
Who discovered Protons?,Rutherford,GK Questions For Class 7,
What does ‘Xylem’ in plants do?,Transport water,GK Questions For Class 7,
Which is the ‘class’ of Octopus?,Cephalopod,GK Questions For Class 7,
What does Big Bang Theory explain?,Origin of Universe,GK Questions For Class 7,
Who is the author of ‘Origin of Species’?,Charles Darwin,GK Questions For Class 7,
What kind of mosquito carries malaria?,Anopheles Mosquitoes,GK Questions For Class 7,
Name the smallest Ocean.,Arctic Ocean,GK Questions For Class 7,
Which day is celebrated as World Consumer Rights Day?,March 15,GK Questions For Class 7,
What is Light year?,It is the unit of distance,GK Questions For Class 7,
Which is the sacred book of Buddhists?,Tripitakas,GK Questions For Class 7,
Cataract is the disease of _.,Eye,GK Questions For Class 7,
What is the SI unit of Force?,Newton,GK Questions For Class 7,
Who is the author of ‘Wings of Fire’?,A.P.J. Abdul Kalam,GK Questions For Class 7,
Who is the father of Economics?,Adam Smith,GK Questions For Class 7,
What is the common name of Sodium Carbonate?,Washing Soda,GK Questions For Class 7,
What is Phycology?,Study of Algae,GK Questions For Class 7,
Which is the first Asian country to orbit Mars?,India,GK Questions For Class 7,
Which country is the largest producer of Coffee?,Brazil,GK Questions For Class 7,
The terms’ Bull and Bear’ is associated with __________.,Stock Market,GK Questions For Class 7,images/10.jpeg
Where are the HeadQuarters of UNESCO?,"Paris, France",GK Questions For Class 7,
Which are the colors of the rings of the Olympic flag?,"Black, Red, Blue, Green, and Yellow",GK Questions For Class 7,
Who invented ‘Lift’?,Elisha Graves Otis,GK Questions For Class 7,
Which river crosses the equator twice?,Congo River,GK Questions For Class 7,
Which is the device used to locate submerged objects under sea?,SONAR,GK Questions For Class 7,
